04/09/15 Jack King phototran 2 2000Hz
87 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
88 R 853 0x52 0x0 0x3 0x55 0x2c 0xff 
89 F 1025 0x46 0x0 0x4 0x1 0x2c 0xff 
90 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
91 F 849 0x46 0x0 0x3 0x51 0x2c 0xff 
92 R 1030 0x52 0x0 0x4 0x6 0x2c 0xff 
93 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
94 R 843 0x52 0x0 0x3 0x4b 0x2c 0xff 
95 F 1039 0x46 0x0 0x4 0xf 0x2c 0xff 
96 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
97 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
98 R 1043 0x52 0x0 0x4 0x13 0x2c 0xff 
99 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
100 F 1099 0x46 0x0 0x4 0x4b 0x2c 0xff 
101 R 880 0x52 0x0 0x3 0x70 0x2c 0xff 
102 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
103 R 1098 0x52 0x0 0x4 0x4a 0x2c 0xff 
104 F 872 0x46 0x0 0x3 0x68 0x2c 0xff 
105 R 1006 0x52 0x0 0x3 0xee 0x2c 0xff 
106 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
107 R 866 0x52 0x0 0x3 0x62 0x2c 0xff 
108 F 1012 0x46 0x0 0x3 0xf4 0x2c 0xff 
109 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
110 F 862 0x46 0x0 0x3 0x5e 0x2c 0xff 
111 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
112 F 1093 0x46 0x0 0x4 0x45 0x2c 0xff 
113 R 856 0x52 0x0 0x3 0x58 0x2c 0xff 
114 F 1026 0x46 0x0 0x4 0x2 0x2c 0xff 
115 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
116 F 849 0x46 0x0 0x3 0x51 0x2c 0xff 
117 R 1030 0x52 0x0 0x4 0x6 0x2c 0xff 
118 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
119 R 843 0x52 0x0 0x3 0x4b 0x2c 0xff 
120 F 1036 0x46 0x0 0x4 0xc 0x2c 0xff 
121 R 1099 0x52 0x0 0x4 0x4b 0x2c 0xff 
122 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
123 R 1043 0x52 0x0 0x4 0x13 0x2c 0xff 
124 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
125 F 1099 0x46 0x0 0x4 0x4b 0x2c 0xff 
126 R 880 0x52 0x0 0x3 0x70 0x2c 0xff 
127 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
128 R 1094 0x52 0x0 0x4 0x46 0x2c 0xff 
129 F 876 0x46 0x0 0x3 0x6c 0x2c 0xff 
130 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
131 F 1095 0x46 0x0 0x4 0x47 0x2c 0xff 
132 R 868 0x52 0x0 0x3 0x64 0x2c 0xff 
133 F 1011 0x46 0x0 0x3 0xf3 0x2c 0xff 
134 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
135 F 862 0x46 0x0 0x3 0x5e 0x2c 0xff 
136 R 1016 0x52 0x0 0x3 0xf8 0x2c 0xff 
137 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
138 R 856 0x52 0x0 0x3 0x58 0x2c 0xff 
139 F 1026 0x46 0x0 0x4 0x2 0x2c 0xff 
140 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
141 F 849 0x46 0x0 0x3 0x51 0x2c 0xff 
142 R 1030 0x52 0x0 0x4 0x6 0x2c 0xff 
143 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
144 R 842 0x52 0x0 0x3 0x4a 0x2c 0xff 
145 F 1037 0x46 0x0 0x4 0xd 0x2c 0xff 
146 R 1095 0x52 0x0 0x4 0x47 0x2c 0xff 
147 F 839 0x46 0x0 0x3 0x47 0x2c 0xff 
148 R 1044 0x52 0x0 0x4 0x14 0x2c 0xff 
149 R 936 0x52 0x0 0x3 0xa8 0x2c 0xff 
150 F 1098 0x46 0x0 0x4 0x4a 0x2c 0xff 
151 R 882 0x52 0x0 0x3 0x72 0x2c 0xff 
152 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
153 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
154 F 876 0x46 0x0 0x3 0x6c 0x2c 0xff 
155 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
156 F 1099 0x46 0x0 0x4 0x4b 0x2c 0xff 
157 R 868 0x52 0x0 0x3 0x64 0x2c 0xff 
158 F 1011 0x46 0x0 0x3 0xf3 0x2c 0xff 
159 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
160 F 862 0x46 0x0 0x3 0x5e 0x2c 0xff 
161 R 1016 0x52 0x0 0x3 0xf8 0x2c 0xff 
162 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
163 R 856 0x52 0x0 0x3 0x58 0x2c 0xff 
164 F 1023 0x46 0x0 0x3 0xff 0x2c 0xff 
165 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
166 F 852 0x46 0x0 0x3 0x54 0x2c 0xff 
167 R 1030 0x52 0x0 0x4 0x6 0x2c 0xff 
168 F 1094 0x46 0x0 0x4 0x46 0x2c 0xff 
169 R 846 0x52 0x0 0x3 0x4e 0x2c 0xff 
170 F 1036 0x46 0x0 0x4 0xc 0x2c 0xff 
171 R 1095 0x52 0x0 0x4 0x47 0x2c 0xff 
172 F 839 0x46 0x0 0x3 0x47 0x2c 0xff 
173 R 1040 0x52 0x0 0x4 0x10 0x2c 0xff 
174 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
175 R 849 0x52 0x0 0x3 0x51 0x2c 0xff 
176 F 1032 0x46 0x0 0x4 0x8 0x2c 0xff 
177 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
178 F 842 0x46 0x0 0x3 0x4a 0x2c 0xff 
