phototran 2 330Hz siggen Jack King 04/10/15
81 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
82 R 1937 0x52 0x0 0x7 0x91 0x2c 0xff 
83 F 949 0x46 0x0 0x3 0xb5 0x2c 0xff 
84 R 953 0x52 0x0 0x3 0xb9 0x2c 0xff 
85 F 947 0x46 0x0 0x3 0xb3 0x2c 0xff 
86 R 972 0x52 0x0 0x3 0xcc 0x2c 0xff 
87 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
88 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
89 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
90 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
91 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
92 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
93 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
94 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
95 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
96 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
97 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
98 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
99 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
100 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
101 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
102 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
103 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
104 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
105 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
106 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
107 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
108 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
109 F 1932 0x46 0x0 0x7 0x8c 0x2c 0xff 
110 R 948 0x52 0x0 0x3 0xb4 0x2c 0xff 
111 F 949 0x46 0x0 0x3 0xb5 0x2c 0xff 
112 R 950 0x52 0x0 0x3 0xb6 0x2c 0xff 
113 F 963 0x46 0x0 0x3 0xc3 0x2c 0xff 
114 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
115 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
116 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
117 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
118 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
119 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
120 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
121 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
122 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
123 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
124 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
125 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
126 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
127 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
128 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
129 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
130 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
131 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
132 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
133 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
134 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
135 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
136 R 1942 0x52 0x0 0x7 0x96 0x2c 0xff 
137 F 948 0x46 0x0 0x3 0xb4 0x2c 0xff 
138 R 949 0x52 0x0 0x3 0xb5 0x2c 0xff 
139 F 947 0x46 0x0 0x3 0xb3 0x2c 0xff 
140 R 972 0x52 0x0 0x3 0xcc 0x2c 0xff 
141 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
142 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
143 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
144 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
145 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
146 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
