04/09/15 Jack King phototran 2 10KHz
173 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
174 R 1023 0x52 0x0 0x3 0xff 0x2c 0xff 
175 F 970 0x46 0x0 0x3 0xca 0x2c 0xff 
176 R 976 0x52 0x0 0x3 0xd0 0x2c 0xff 
177 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
178 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
179 R 1023 0x52 0x0 0x3 0xff 0x2c 0xff 
180 F 970 0x46 0x0 0x3 0xca 0x2c 0xff 
181 R 976 0x52 0x0 0x3 0xd0 0x2c 0xff 
182 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
183 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
184 R 1019 0x52 0x0 0x3 0xfb 0x2c 0xff 
185 F 975 0x46 0x0 0x3 0xcf 0x2c 0xff 
186 R 975 0x52 0x0 0x3 0xcf 0x2c 0xff 
187 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
188 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
189 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
190 F 974 0x46 0x0 0x3 0xce 0x2c 0xff 
191 R 976 0x52 0x0 0x3 0xd0 0x2c 0xff 
192 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
193 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
194 R 1021 0x52 0x0 0x3 0xfd 0x2c 0xff 
195 F 973 0x46 0x0 0x3 0xcd 0x2c 0xff 
196 R 976 0x52 0x0 0x3 0xd0 0x2c 0xff 
197 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
198 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
199 R 1019 0x52 0x0 0x3 0xfb 0x2c 0xff 
200 F 974 0x46 0x0 0x3 0xce 0x2c 0xff 
201 R 976 0x52 0x0 0x3 0xd0 0x2c 0xff 
202 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
203 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
204 R 1019 0x52 0x0 0x3 0xfb 0x2c 0xff 
205 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
206 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
207 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
208 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
209 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
210 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
211 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
212 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
213 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
214 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
215 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
216 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
217 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
218 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
219 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
220 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
221 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
222 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
223 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
224 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
225 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
226 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
227 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
228 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
229 R 1019 0x52 0x0 0x3 0xfb 0x2c 0xff 
230 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
231 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
232 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
233 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
234 R 1021 0x52 0x0 0x3 0xfd 0x2c 0xff 
235 F 970 0x46 0x0 0x3 0xca 0x2c 0xff 
236 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
237 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
238 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
239 R 1019 0x52 0x0 0x3 0xfb 0x2c 0xff 
240 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
241 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
242 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
243 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
244 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
245 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
246 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
247 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
248 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
249 R 1021 0x52 0x0 0x3 0xfd 0x2c 0xff 
250 F 970 0x46 0x0 0x3 0xca 0x2c 0xff 
251 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
252 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
253 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
254 R 1019 0x52 0x0 0x3 0xfb 0x2c 0xff 
255 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
256 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
257 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
258 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
259 R 1021 0x52 0x0 0x3 0xfd 0x2c 0xff 
260 F 970 0x46 0x0 0x3 0xca 0x2c 0xff 
261 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
262 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
263 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
264 R 1019 0x52 0x0 0x3 0xfb 0x2c 0xff 
265 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
266 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
