0,R,13893359
1,F,1666
2,R,951
3,F,949
4,R,950
5,F,967
6,R,990
7,F,990
8,R,990
9,F,990
10,R,990
11,F,990
12,R,990
13,F,990
14,R,990
15,F,990
16,R,990
17,F,990
18,R,990
19,F,990
20,R,990
21,F,990
22,R,990
23,F,990
24,R,990
25,F,990
26,R,990
27,F,990
28,R,1938
29,F,945
30,R,952
31,F,948
32,R,975
33,F,991
34,R,989
35,F,991
36,R,989
37,F,991
38,R,989
39,F,991
40,R,989
41,F,991
42,R,989
43,F,991
44,R,989
45,F,991
46,R,989
47,F,991
48,R,989
49,F,991
50,R,989
51,F,991
52,R,989
53,F,991
54,R,989
55,F,1929
56,R,951
57,F,946
58,R,953
59,F,964
60,R,989
61,F,991
62,R,989
63,F,991
64,R,989
65,F,991
66,R,989
67,F,991
68,R,989
69,F,991
70,R,989
71,F,991
72,R,989
73,F,991
74,R,989
75,F,991
76,R,989
77,F,991
78,R,989
79,F,991
80,R,989
81,F,991
82,R,1937
83,F,949
84,R,953
85,F,947
86,R,972
87,F,990
88,R,990
89,F,990
90,R,990
91,F,990
92,R,990
93,F,990
94,R,990
95,F,990
96,R,990
97,F,990
98,R,990
99,F,990
100,R,990
101,F,990
102,R,990
103,F,990
104,R,990
105,F,990
106,R,990
107,F,990
108,R,990
109,F,1932
110,R,948
111,F,949
112,R,950
113,F,963
114,R,990
115,F,990
116,R,990
117,F,990
118,R,990
119,F,990
120,R,990
121,F,990
122,R,990
123,F,990
124,R,990
125,F,990
126,R,990
127,F,990
128,R,990
129,F,990
130,R,990
131,F,990
132,R,990
133,F,990
134,R,990
135,F,990
136,R,1942
137,F,948
138,R,949
139,F,947
140,R,972
141,F,991
142,R,989
143,F,991
144,R,989
145,F,991
146,R,989
147,F,991
148,R,989
149,F,991
150,R,989
151,F,991
152,R,989
153,F,991
154,R,989
155,F,991
156,R,989
157,F,991
158,R,989
159,F,991
160,R,989
161,F,991
162,R,989
163,F,1932
164,R,951
165,F,950
166,R,950
167,F,960
168,R,989
169,F,991
170,R,989
171,F,991
172,R,989
173,F,991
174,R,989
175,F,991
176,R,989
177,F,991
178,R,989
179,F,991
180,R,989
181,F,991
182,R,989
183,F,991
184,R,989
185,F,991
186,R,989
187,F,991
188,R,989
189,F,991
190,F,989
191,R,990
192,F,991
193,R,989
194,F,991
195,R,989
196,F,991
197,R,989
198,F,991
199,R,989
200,F,991
201,R,989
202,F,991
203,R,989
204,F,991
205,R,989
206,F,991
207,R,989
208,F,991
209,R,989
210,F,991
211,R,989
212,F,991
213,R,989
214,F,1918
215,R,949
216,F,949
217,R,950
218,F,960
219,R,990
220,F,990
221,R,990
222,F,990
223,R,990
224,F,990
225,R,990
226,F,990
227,R,990
228,F,990
229,R,990
230,F,990
231,R,990
232,F,990
233,R,990
234,F,990
