0,R,525118
1,F,840
2,R,986
3,F,991
4,F,990
5,R,996
6,F,988
7,R,986
8,F,990
9,F,990
10,R,996
11,F,987
12,R,987
13,F,990
14,F,990
15,R,996
16,F,987
17,R,986
18,F,991
19,F,1245
20,R,741
21,F,987
22,R,986
23,F,991
24,F,989
25,R,997
26,F,987
27,R,986
28,R,991
29,F,997
30,R,989
31,F,984
32,R,990
33,R,990
34,F,997
35,R,989
36,F,984
37,R,990
38,R,990
39,F,997
40,R,986
41,F,987
42,R,990
43,R,990
44,F,997
45,R,986
46,F,987
47,R,989
48,R,991
49,F,997
50,R,986
51,F,987
52,R,990
53,R,990
54,F,997
55,R,986
56,F,987
57,R,990
58,R,990
59,F,997
60,R,986
61,F,987
62,R,990
63,R,990
64,F,997
65,R,986
66,F,987
67,R,989
68,R,991
69,F,997
70,R,986
71,F,987
72,R,989
73,R,991
74,F,997
75,R,986
76,F,987
77,R,989
78,R,991
79,F,997
80,R,986
81,F,987
82,R,990
83,R,990
84,F,997
85,R,986
86,F,987
87,R,990
88,R,990
89,F,997
90,R,986
91,F,987
92,R,990
93,R,990
94,F,997
95,R,986
96,F,987
97,R,990
98,R,990
99,F,997
100,R,986
101,F,987
102,R,990
103,R,990
104,F,993
105,R,990
106,F,987
107,R,990
108,R,990
109,F,993
110,R,990
111,F,987
112,F,990
113,R,1000
114,F,984
115,R,989
116,F,987
117,F,990
118,R,996
119,F,988
120,R,989
121,F,987
122,F,990
123,R,996
124,F,988
125,R,986
126,F,990
127,F,990
128,R,996
129,F,988
130,R,986
131,F,990
132,F,990
133,R,996
134,F,987
135,R,986
136,F,991
137,F,989
138,R,997
139,F,988
140,R,985
141,F,991
142,F,990
143,R,996
144,F,988
145,R,986
146,F,990
147,F,990
148,R,996
149,F,987
150,R,986
151,F,991
152,F,990
153,R,996
154,F,987
155,R,986
156,F,991
157,F,989
158,R,997
159,F,987
160,R,986
161,F,991
162,F,990
163,R,996
164,F,988
165,R,986
166,F,990
167,F,990
168,R,996
169,F,988
170,R,986
171,F,990
172,F,990
173,R,996
174,F,988
175,R,986
176,F,990
177,F,990
178,R,996
179,F,988
180,R,986
181,F,990
182,F,990
183,R,996
184,F,984
185,R,990
186,R,990
187,F,997
188,R,989
189,F,984
190,R,990
191,R,990
192,F,997
193,R,989
194,F,984
195,R,990
196,R,990
197,F,997
198,R,986
199,F,987
200,R,990
201,R,990
