04/09/15 Jack King phototran 2 1000Hz
60 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
61 R 1266 0x52 0x0 0x4 0xf2 0x2c 0xff 
62 F 941 0x46 0x0 0x3 0xad 0x2c 0xff 
63 R 938 0x52 0x0 0x3 0xaa 0x2c 0xff 
64 F 947 0x46 0x0 0x3 0xb3 0x2c 0xff 
65 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
66 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
67 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
68 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
69 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
70 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
71 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
72 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
73 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
74 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
75 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
76 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
77 F 1270 0x46 0x0 0x4 0xf6 0x2c 0xff 
78 R 943 0x52 0x0 0x3 0xaf 0x2c 0xff 
79 F 938 0x46 0x0 0x3 0xaa 0x2c 0xff 
80 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
81 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
82 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
83 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
84 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
85 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
86 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
87 F 1264 0x46 0x0 0x4 0xf0 0x2c 0xff 
88 R 943 0x52 0x0 0x3 0xaf 0x2c 0xff 
89 F 938 0x46 0x0 0x3 0xaa 0x2c 0xff 
90 R 948 0x52 0x0 0x3 0xb4 0x2c 0xff 
91 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
92 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
93 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
94 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
95 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
96 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
97 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
98 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
99 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
100 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
101 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
102 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
103 R 1270 0x52 0x0 0x4 0xf6 0x2c 0xff 
104 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
105 R 939 0x52 0x0 0x3 0xab 0x2c 0xff 
106 F 943 0x46 0x0 0x3 0xaf 0x2c 0xff 
107 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
108 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
109 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
110 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
111 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
112 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
113 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
114 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
115 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
116 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
117 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
118 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
119 F 1277 0x46 0x0 0x4 0xfd 0x2c 0xff 
120 R 939 0x52 0x0 0x3 0xab 0x2c 0xff 
