0,R,5859868
1,F,848
2,F,2687
3,R,6263
4,F,850
5,F,5418
6,F,6266
7,F,6263
8,F,6267
9,F,6266
10,F,6264
11,F,6267
12,R,6263
13,F,837
14,F,5431
15,F,6266
16,R,6262
17,F,851
18,F,5418
19,R,6262
20,F,843
21,F,5425
22,F,6265
23,R,6263
24,F,841
25,F,5428
26,F,6265
27,R,6263
28,F,837
29,F,5431
30,R,6263
31,F,847
32,F,5420
33,F,6266
34,R,6263
35,F,844
36,F,5424
37,F,6266
38,R,6263
39,F,840
40,F,5428
41,F,6266
42,R,6263
43,F,837
44,R,5428
45,F,842
46,F,5424
47,F,6266
48,F,6266
49,R,6264
50,F,844
51,F,5424
52,F,6265
53,F,6264
54,F,6266
55,R,6264
56,F,850
57,F,5418
58,F,6521
59,R,6008
60,F,847
61,F,5420
62,F,6266
63,R,6263
64,F,844
65,F,5424
66,F,6266
67,F,6263
68,F,6267
69,R,6263
70,F,850
71,F,5418
72,F,6266
73,R,6263
74,F,847
75,F,5421
76,F,6266
77,F,6263
78,F,6267
79,R,6263
80,F,837
81,F,5431
82,F,6266
83,R,6263
84,F,850
85,F,5417
86,F,6266
87,F,6264
88,F,6266
89,F,6267
90,F,6263
91,F,6267
92,R,6263
93,F,837
94,F,5431
95,F,6266
96,R,6263
97,F,850
98,F,5418
99,F,6266
100,F,6263
101,F,6267
102,R,6263
103,F,841
104,F,5427
105,F,6266
106,R,6263
107,F,837
108,F,5431
109,F,6265
110,F,6264
111,F,6266
112,R,6264
113,F,844
114,F,5424
115,F,6265
116,R,6264
117,F,840
118,F,5428
119,F,6265
120,F,6263
121,F,6267
122,F,6267
123,F,6263
124,F,6267
125,R,6264
126,F,843
127,F,5424
128,F,6266
129,R,6263
130,F,841
131,F,5683
132,F,6010
133,F,6263
134,F,6267
135,R,6263
136,F,847
137,F,5421
138,F,6265
139,R,6264
140,F,843
141,F,5425
142,F,6265
143,R,6263
144,F,841
145,R,5424
146,F,846
147,F,5421
148,F,6265
149,F,6267
150,R,6263
151,F,847
152,F,5422
153,F,6265
154,R,6263
155,F,844
156,F,5424
157,F,6266
158,R,6263
159,F,840
160,R,5425
161,F,846
162,F,5420
163,F,6266
164,F,6267
165,R,6263
166,F,847
167,F,5421
168,F,6265
169,F,6264
170,F,6267
171,F,6266
172,F,6264
173,F,6266
174,R,6264
175,F,850
176,F,5418
177,F,6265
178,R,6263
179,F,847
180,F,5422
181,F,6265
182,F,6263
183,F,6267
184,R,6263
185,F,837
186,F,5431
187,F,6266
188,R,6263
189,F,850
190,F,5418
191,F,6266
192,F,6263
193,F,6267
194,F,6266
195,F,6264
196,F,6267
197,F,6266
198,F,6263
199,F,6268
200,R,6263
201,F,850
202,F,5418
203,R,6262
204,F,843
205,F,5425
206,F,6265
207,R,6263
208,F,841
209,F,5428
210,F,6265
211,R,6263
212,F,838
213,F,5431
214,F,6265
215,F,6263
216,F,6267
217,R,6264
218,F,843
219,F,5424
220,F,6266
221,R,6263
222,F,841
223,F,5427
224,F,6266
225,F,6263
226,F,6267
227,R,6263
228,F,847
229,F,5421
230,F,6266
231,R,6263
232,F,843
233,F,5425
234,F,6265
235,R,6263
236,F,841
237,F,5428
238,F,6265
239,F,6263
240,F,6267
241,R,6264
242,F,847
243,F,5420
244,F,6266
245,F,6264
246,F,6266
247,F,6267
248,R,6263
249,F,840
250,F,5428
251,R,6262
252,F,851
253,F,5417
254,F,6266
255,R,6263
256,F,847
257,F,5421
258,F,6265
259,F,6264
260,F,6266
261,F,6267
262,F,6263
263,F,6268
264,R,6263
265,F,850
266,F,5417
267,F,6266
268,R,6263
269,F,847
270,F,5422
271,F,6265
272,R,6263
273,F,844
274,F,5424
275,R,6262
276,F,838
277,F,5431
278,F,6265
279,R,6263
280,F,851
281,F,5417
282,F,6266
283,F,6263
284,F,6267
285,F,6266
286,F,6264
287,F,6267
288,R,6263
289,F,837
290,F,5431
291,F,6266
292,R,6263
293,F,850
294,F,5418
295,F,6265
296,F,6264
297,F,6266
298,F,6267
299,F,6263
300,F,6267
301,R,6519
302,F,581
303,F,5432
304,F,6265
305,R,6263
306,F,850
307,F,5418
308,R,6262
309,F,844
310,F,5424
311,F,6266
312,R,6263
313,F,841
314,F,5427
315,F,6266
316,R,6263
317,F,837
318,F,5431
319,F,6265
320,F,6264
321,F,6266
322,R,6264
323,F,843
324,F,5425
325,F,6265
326,R,6263
327,F,841
328,F,5428
329,F,6265
330,R,6263
331,F,837
332,R,5428
333,F,843
334,F,5424
335,F,6265
336,F,6267
337,R,6263
338,F,844
339,F,5424
340,F,6266
341,R,6263
342,F,840
343,F,5428
344,F,6266
345,F,6263
346,F,6267
347,F,6266
348,F,6263
349,F,6268
350,R,6263
351,F,843
352,F,5425
353,F,6265
354,R,6263
355,F,841
356,F,5428
357,R,6262
358,F,850
359,F,5418
360,F,6265
361,R,6263
362,F,847
363,F,5422
364,F,6265
365,R,6263
366,F,844
367,F,5424
368,F,6266
369,R,6263
370,F,840
371,R,5425
372,F,846
373,F,5420
374,F,6266
375,F,6267
376,R,6263
377,F,847
378,F,5421
379,F,6265
380,F,6264
381,F,6267
382,F,6266
383,F,6264
384,F,6266
385,R,6264
386,F,850
387,F,5418
388,F,6265
389,R,6263
390,F,847
391,F,5422
392,F,6265
393,F,6263
394,F,6267
395,R,6263
396,F,837
397,F,5432
398,F,6265
399,R,6263
400,F,850
401,F,5418
402,F,6266
403,F,6263
404,F,6267
405,F,6266
406,F,6264
407,F,6267
408,R,6263
409,F,837
410,F,5431
411,F,6266
412,R,6262
413,F,851
414,F,5418
415,F,6265
416,F,6264
417,F,6266
418,R,6264
419,F,840
420,F,5428
421,F,6265
422,R,6263
423,F,837
424,F,5432
425,F,6265
426,F,6263
427,F,6267
428,R,6263
429,F,844
430,F,5424
431,F,6266
432,R,6263
433,F,840
434,F,5428
435,F,6266
436,R,6263
437,F,837
438,F,5431
439,R,6262
440,F,847
441,F,5421
442,F,6265
443,R,6264
444,F,844
445,F,5424
446,F,6265
447,R,6264
448,F,840
449,F,5428
450,F,6265
451,R,6263
452,F,837
453,R,5428
454,F,842
455,F,5425
456,F,6265
457,F,6267
458,R,6263
459,F,844
