04/09/15 Jack King phototran 2 100KHz
155 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
156 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
157 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
158 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
159 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
160 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
161 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
162 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
163 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
164 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
165 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
166 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
167 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
168 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
169 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
170 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
171 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
172 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
173 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
174 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
175 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
176 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
177 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
178 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
179 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
180 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
181 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
182 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
183 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
184 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
185 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
186 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
187 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
188 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
189 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
190 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
191 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
192 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
193 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
