PhotoTran 2 Sig Gen 1MHz Jack King 04/09/15
1303 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1304 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
1305 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1306 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1307 R 1018 0x52 0x0 0x3 0xfa 0x2c 0xff 
1308 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
1309 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1310 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1311 R 1001 0x52 0x0 0x3 0xe9 0x2c 0xff 
1312 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1313 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
1314 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1315 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1316 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1317 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1318 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
1319 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
1320 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
1321 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1322 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1323 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1324 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1325 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
1326 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
1327 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1328 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1329 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1330 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1331 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1332 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1333 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1334 R 1014 0x52 0x0 0x3 0xf6 0x2c 0xff 
1335 R 966 0x52 0x0 0x3 0xc6 0x2c 0xff 
1336 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1337 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1338 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
1339 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
1340 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1341 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
1342 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
1343 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1344 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1345 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
1346 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1347 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1348 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1349 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
1350 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1351 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1352 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
1353 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1354 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1355 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1356 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1357 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1358 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
1359 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1360 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1361 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1362 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1363 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1364 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1365 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
1366 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1367 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1368 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1369 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1370 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
1371 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
1372 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1373 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1374 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1375 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1376 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1377 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1378 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1379 F 1008 0x46 0x0 0x3 0xf0 0x2c 0xff 
1380 F 968 0x46 0x0 0x3 0xc8 0x2c 0xff 
1381 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1382 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1383 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
1384 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1385 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1386 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
1387 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1388 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1389 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1390 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1391 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1392 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
1393 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1394 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1395 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1396 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
1397 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1398 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
1399 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1400 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1401 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1402 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1403 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1404 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1405 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1406 R 1014 0x52 0x0 0x3 0xf6 0x2c 0xff 
1407 R 966 0x52 0x0 0x3 0xc6 0x2c 0xff 
1408 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
1409 R 973 0x52 0x0 0x3 0xcd 0x2c 0xff 
1410 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
1411 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
1412 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1413 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1414 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
1415 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1416 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1417 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1418 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1419 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1420 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1421 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
1422 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1423 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1424 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1425 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1426 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1427 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1428 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1429 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1430 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1431 R 1018 0x52 0x0 0x3 0xfa 0x2c 0xff 
1432 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
1433 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1434 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1435 R 1001 0x52 0x0 0x3 0xe9 0x2c 0xff 
1436 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1437 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
1438 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1439 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1440 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1441 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1442 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
1443 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
1444 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
1445 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1446 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1447 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1448 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1449 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
1450 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
1451 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1452 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1453 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1454 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1455 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1456 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1457 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1458 F 1008 0x46 0x0 0x3 0xf0 0x2c 0xff 
1459 F 968 0x46 0x0 0x3 0xc8 0x2c 0xff 
1460 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1461 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1462 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
1463 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1464 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1465 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
1466 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1467 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1468 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1469 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1470 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1471 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
1472 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1473 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1474 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1475 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
1476 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1477 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
1478 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1479 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1480 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1481 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1482 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1483 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1484 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1485 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1486 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1487 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1488 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1489 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
1490 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
1491 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1492 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1493 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
1494 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1495 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1496 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1497 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1498 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1499 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1500 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1501 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1502 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1503 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
1504 R 973 0x52 0x0 0x3 0xcd 0x2c 0xff 
1505 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1506 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1507 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
1508 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1509 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1510 R 1018 0x52 0x0 0x3 0xfa 0x2c 0xff 
1511 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
1512 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1513 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1514 R 1001 0x52 0x0 0x3 0xe9 0x2c 0xff 
1515 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1516 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
1517 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1518 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1519 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1520 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1521 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
1522 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
1523 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
1524 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1525 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1526 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1527 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1528 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
1529 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
1530 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1531 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1532 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1533 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1534 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1535 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1536 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1537 R 1014 0x52 0x0 0x3 0xf6 0x2c 0xff 
1538 R 966 0x52 0x0 0x3 0xc6 0x2c 0xff 
1539 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1540 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1541 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
1542 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
1543 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1544 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
1545 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
1546 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1547 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1548 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
1549 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1550 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1551 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1552 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
1553 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1554 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1555 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
1556 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1557 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1558 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1559 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1560 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1561 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
1562 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1563 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1564 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1565 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1566 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1567 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1568 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
1569 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1570 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1571 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1572 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1573 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
1574 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
1575 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1576 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1577 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1578 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1579 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1580 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1581 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1582 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
1583 R 973 0x52 0x0 0x3 0xcd 0x2c 0xff 
1584 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1585 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1586 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
1587 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1588 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1589 R 1018 0x52 0x0 0x3 0xfa 0x2c 0xff 
1590 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
1591 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1592 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1593 R 1001 0x52 0x0 0x3 0xe9 0x2c 0xff 
1594 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1595 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
1596 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1597 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1598 R 1249 0x52 0x0 0x4 0xe1 0x2c 0xff 
1599 R 731 0x52 0x0 0x2 0xdb 0x2c 0xff 
1600 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
1601 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
1602 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
1603 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1604 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1605 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1606 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1607 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
1608 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
1609 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1610 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1611 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1612 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1613 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1614 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1615 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1616 R 1014 0x52 0x0 0x3 0xf6 0x2c 0xff 
1617 R 966 0x52 0x0 0x3 0xc6 0x2c 0xff 
1618 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1619 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1620 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
1621 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
1622 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1623 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
1624 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
1625 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1626 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1627 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
1628 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1629 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1630 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1631 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
1632 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1633 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
1634 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1635 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
1636 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1637 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1638 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1639 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1640 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1641 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1642 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1643 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1644 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1645 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1646 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1647 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
1648 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1649 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1650 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1651 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1652 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
1653 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
1654 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1655 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1656 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1657 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1658 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1659 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1660 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1661 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
1662 R 973 0x52 0x0 0x3 0xcd 0x2c 0xff 
1663 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1664 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1665 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
1666 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1667 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1668 R 1018 0x52 0x0 0x3 0xfa 0x2c 0xff 
1669 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
1670 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1671 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1672 R 1001 0x52 0x0 0x3 0xe9 0x2c 0xff 
1673 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1674 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
1675 R 980 0x52 0x0 0x3 0xd4 0x2c 0xff 
1676 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1677 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1678 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1679 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1680 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1681 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
1682 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
1683 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1684 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
1685 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1686 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
1687 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
1688 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1689 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1690 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
1691 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
1692 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1693 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
1694 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
1695 F 1008 0x46 0x0 0x3 0xf0 0x2c 0xff 
1696 F 968 0x46 0x0 0x3 0xc8 0x2c 0xff 
1697 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1698 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1699 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
1700 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1701 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1702 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
1703 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1704 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1705 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1706 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1707 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1708 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
1709 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
1710 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1711 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1712 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
1713 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1714 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
