PhotoTran 2 Sig Gen 1MHz Jack King 04/09/15
73 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
74 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
75 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
76 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
77 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
78 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
79 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
80 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
81 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
82 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
83 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
84 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
85 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
86 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
87 R 973 0x52 0x0 0x3 0xcd 0x2c 0xff 
88 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
89 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
90 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
91 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
92 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
93 R 1018 0x52 0x0 0x3 0xfa 0x2c 0xff 
94 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
95 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
96 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
97 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
98 F 979 0x46 0x0 0x3 0xd3 0x2c 0xff 
99 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
100 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
101 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
102 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
103 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
104 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
105 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
106 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
107 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
108 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
109 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
110 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
111 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
112 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
113 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
114 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
115 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
116 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
117 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
118 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
