04/09/15 Jack King photo tran 2 750Hz
30 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
31 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
32 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
33 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
34 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
35 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
36 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
37 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
38 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
39 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
40 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
41 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
42 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
43 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
44 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
45 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
46 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
47 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
48 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
49 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
50 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
51 R 1254 0x52 0x0 0x4 0xe6 0x2c 0xff 
52 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
53 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
54 F 1249 0x46 0x0 0x4 0xe1 0x2c 0xff 
55 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
56 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
57 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
58 F 1249 0x46 0x0 0x4 0xe1 0x2c 0xff 
59 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
60 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
61 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
62 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
63 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
64 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
65 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
66 F 1255 0x46 0x0 0x4 0xe7 0x2c 0xff 
67 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
68 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
69 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
70 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
71 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
72 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
73 R 1251 0x52 0x0 0x4 0xe3 0x2c 0xff 
74 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
75 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
76 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
77 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
78 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
79 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
80 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
81 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
82 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
83 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
84 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
85 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
86 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
87 R 1254 0x52 0x0 0x4 0xe6 0x2c 0xff 
88 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
89 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
90 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
91 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
92 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
93 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
94 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
95 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
96 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
97 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
98 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
99 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
100 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
101 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
102 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
103 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
104 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
105 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
106 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
107 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
108 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
109 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
110 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
111 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
112 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
113 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
114 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
115 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
116 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
117 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
118 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
119 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
120 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
121 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
122 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
123 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
124 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
125 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
126 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
127 R 1254 0x52 0x0 0x4 0xe6 0x2c 0xff 
128 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
129 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
130 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
131 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
132 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
133 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
134 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
135 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
136 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
137 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
138 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
139 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
140 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
141 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
142 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
143 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
144 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
145 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
