phototran 2 318Hz siggen Jack King 04/10/15
170 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
171 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
172 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
173 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
174 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
175 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
176 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
177 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
178 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
179 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
180 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
181 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
182 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
183 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
184 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
185 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
186 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
187 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
188 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
189 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
190 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
191 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
192 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
193 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
194 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
195 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
196 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
197 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
198 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
199 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
200 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
201 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
202 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
203 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
204 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
205 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
206 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
207 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
208 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
209 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
