phototran 2 350Hz siggen Jack King 04/10/15
39 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
40 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
41 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
42 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
43 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
44 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
45 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
46 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
47 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
48 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
49 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
50 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
51 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
52 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
53 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
54 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
55 R 1836 0x52 0x0 0x7 0x2c 0x2c 0xff 
56 F 893 0x46 0x0 0x3 0x7d 0x2c 0xff 
57 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
58 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
59 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
60 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
61 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
62 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
63 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
64 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
65 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
66 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
67 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
68 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
69 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
70 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
71 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
72 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
73 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
74 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
75 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
76 R 1836 0x52 0x0 0x7 0x2c 0x2c 0xff 
77 F 893 0x46 0x0 0x3 0x7d 0x2c 0xff 
78 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
79 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
80 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
81 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
82 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
83 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
84 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
85 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
86 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
87 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
88 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
89 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
90 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
91 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
92 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
93 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
94 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
95 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
96 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
97 R 1837 0x52 0x0 0x7 0x2d 0x2c 0xff 
98 F 892 0x46 0x0 0x3 0x7c 0x2c 0xff 
99 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
100 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
101 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
102 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
103 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
104 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
105 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
106 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
107 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
108 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
109 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
110 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
111 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
112 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
113 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
114 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
115 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
116 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
117 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
118 R 1837 0x52 0x0 0x7 0x2d 0x2c 0xff 
119 F 892 0x46 0x0 0x3 0x7c 0x2c 0xff 
120 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
121 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
122 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
123 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
124 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
125 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
126 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
127 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
128 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
129 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
130 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
131 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
132 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
133 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
134 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
135 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
136 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
137 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
138 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
139 R 1837 0x52 0x0 0x7 0x2d 0x2c 0xff 
140 F 892 0x46 0x0 0x3 0x7c 0x2c 0xff 
141 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
142 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
143 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
144 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
145 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
146 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
147 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
148 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
149 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
150 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
151 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
152 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
153 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
154 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
155 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
156 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
157 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
158 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
159 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
160 R 1836 0x52 0x0 0x7 0x2c 0x2c 0xff 
161 F 893 0x46 0x0 0x3 0x7d 0x2c 0xff 
162 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
163 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
164 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
165 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
166 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
167 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
168 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
169 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
170 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
171 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
172 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
173 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
174 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
175 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
176 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
177 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
178 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
179 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
180 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
181 R 1836 0x52 0x0 0x7 0x2c 0x2c 0xff 
182 F 893 0x46 0x0 0x3 0x7d 0x2c 0xff 
183 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
184 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
185 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
186 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
187 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
188 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
189 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
190 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
191 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
192 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
193 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
194 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
195 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
196 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
197 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
198 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
199 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
200 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
201 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
202 R 1836 0x52 0x0 0x7 0x2c 0x2c 0xff 
203 F 893 0x46 0x0 0x3 0x7d 0x2c 0xff 
204 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
205 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
206 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
207 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
208 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
209 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
210 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
