phototran 2 350Hz siggen Jack King 04/10/15
1298 F 893 0x46 0x0 0x3 0x7d 0x2c 0xff 
1299 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
1300 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1301 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1302 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1303 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1304 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1305 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1306 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1307 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1308 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1309 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1310 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1311 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1312 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1313 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1314 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1315 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1316 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1317 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1318 R 1833 0x52 0x0 0x7 0x29 0x2c 0xff 
1319 F 893 0x46 0x0 0x3 0x7d 0x2c 0xff 
1320 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
1321 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1322 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1323 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1324 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1325 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1326 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1327 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1328 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1329 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1330 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1331 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1332 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1333 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1334 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1335 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1336 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1337 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1338 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1339 R 1834 0x52 0x0 0x7 0x2a 0x2c 0xff 
1340 F 892 0x46 0x0 0x3 0x7c 0x2c 0xff 
1341 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
1342 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1343 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1344 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1345 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1346 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1347 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1348 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1349 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1350 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1351 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1352 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1353 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1354 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1355 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1356 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1357 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1358 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1359 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1360 R 1833 0x52 0x0 0x7 0x29 0x2c 0xff 
1361 F 893 0x46 0x0 0x3 0x7d 0x2c 0xff 
1362 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
1363 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1364 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1365 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1366 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1367 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1368 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1369 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1370 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1371 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1372 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1373 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1374 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1375 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1376 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1377 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1378 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1379 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1380 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1381 R 1834 0x52 0x0 0x7 0x2a 0x2c 0xff 
1382 F 892 0x46 0x0 0x3 0x7c 0x2c 0xff 
1383 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
1384 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1385 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1386 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1387 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1388 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1389 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1390 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1391 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1392 F 1886 0x46 0x0 0x7 0x5e 0x2c 0xff 
1393 R 897 0x52 0x0 0x3 0x81 0x2c 0xff 
1394 F 930 0x46 0x0 0x3 0xa2 0x2c 0xff 
1395 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1396 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1397 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1398 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1399 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1400 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1401 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1402 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1403 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1404 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1405 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1406 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1407 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1408 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1409 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1410 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1411 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1412 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1413 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1414 R 900 0x52 0x0 0x3 0x84 0x2c 0xff 
1415 F 930 0x46 0x0 0x3 0xa2 0x2c 0xff 
1416 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1417 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1418 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1419 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1420 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1421 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1422 R 1245 0x52 0x0 0x4 0xdd 0x2c 0xff 
1423 F 735 0x46 0x0 0x2 0xdf 0x2c 0xff 
1424 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1425 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1426 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1427 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1428 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1429 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1430 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1431 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1432 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1433 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1434 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1435 R 900 0x52 0x0 0x3 0x84 0x2c 0xff 
1436 F 930 0x46 0x0 0x3 0xa2 0x2c 0xff 
1437 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1438 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1439 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1440 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1441 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1442 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1443 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1444 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1445 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1446 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1447 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1448 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1449 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1450 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1451 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1452 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1453 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1454 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1455 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1456 R 900 0x52 0x0 0x3 0x84 0x2c 0xff 
1457 F 930 0x46 0x0 0x3 0xa2 0x2c 0xff 
1458 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1459 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1460 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1461 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1462 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1463 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1464 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1465 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1466 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1467 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1468 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1469 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1470 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1471 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1472 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1473 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1474 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1475 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1476 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1477 R 900 0x52 0x0 0x3 0x84 0x2c 0xff 
1478 F 930 0x46 0x0 0x3 0xa2 0x2c 0xff 
1479 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1480 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1481 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1482 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1483 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1484 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1485 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1486 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1487 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1488 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1489 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1490 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1491 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1492 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1493 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1494 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1495 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1496 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1497 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1498 R 897 0x52 0x0 0x3 0x81 0x2c 0xff 
1499 F 933 0x46 0x0 0x3 0xa5 0x2c 0xff 
1500 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1501 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1502 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1503 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1504 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1505 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1506 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1507 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1508 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1509 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1510 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1511 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1512 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1513 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1514 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1515 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1516 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1517 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1518 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1519 R 897 0x52 0x0 0x3 0x81 0x2c 0xff 
1520 F 933 0x46 0x0 0x3 0xa5 0x2c 0xff 
1521 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1522 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1523 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1524 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1525 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1526 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1527 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1528 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1529 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1530 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1531 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1532 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1533 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1534 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1535 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1536 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1537 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1538 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1539 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1540 R 897 0x52 0x0 0x3 0x81 0x2c 0xff 
1541 F 933 0x46 0x0 0x3 0xa5 0x2c 0xff 
1542 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1543 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1544 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1545 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1546 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1547 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1548 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1549 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1550 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1551 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1552 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1553 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1554 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1555 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1556 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1557 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1558 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1559 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1560 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1561 R 897 0x52 0x0 0x3 0x81 0x2c 0xff 
1562 F 933 0x46 0x0 0x3 0xa5 0x2c 0xff 
1563 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1564 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1565 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1566 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1567 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1568 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1569 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1570 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1571 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1572 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1573 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1574 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1575 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1576 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1577 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1578 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1579 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1580 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1581 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1582 R 897 0x52 0x0 0x3 0x81 0x2c 0xff 
1583 F 933 0x46 0x0 0x3 0xa5 0x2c 0xff 
1584 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1585 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1586 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1587 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1588 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1589 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1590 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1591 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1592 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1593 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1594 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1595 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1596 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1597 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1598 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1599 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1600 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1601 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1602 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1603 R 896 0x52 0x0 0x3 0x80 0x2c 0xff 
1604 F 934 0x46 0x0 0x3 0xa6 0x2c 0xff 
1605 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1606 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1607 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1608 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1609 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1610 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1611 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1612 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1613 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1614 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1615 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1616 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1617 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1618 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1619 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1620 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1621 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1622 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1623 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1624 R 897 0x52 0x0 0x3 0x81 0x2c 0xff 
1625 F 933 0x46 0x0 0x3 0xa5 0x2c 0xff 
1626 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1627 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1628 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1629 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1630 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1631 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1632 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1633 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1634 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1635 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1636 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1637 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1638 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1639 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1640 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1641 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1642 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1643 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1644 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1645 R 897 0x52 0x0 0x3 0x81 0x2c 0xff 
1646 F 933 0x46 0x0 0x3 0xa5 0x2c 0xff 
1647 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1648 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1649 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1650 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1651 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1652 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1653 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1654 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1655 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
1656 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1657 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1658 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1659 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1660 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1661 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1662 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1663 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1664 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1665 F 1834 0x46 0x0 0x7 0x2a 0x2c 0xff 
1666 R 896 0x52 0x0 0x3 0x80 0x2c 0xff 
1667 F 934 0x46 0x0 0x3 0xa6 0x2c 0xff 
1668 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1669 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1670 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1671 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1672 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1673 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1674 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1675 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1676 R 1887 0x52 0x0 0x7 0x5f 0x2c 0xff 
1677 F 895 0x46 0x0 0x3 0x7f 0x2c 0xff 
1678 R 930 0x52 0x0 0x3 0xa2 0x2c 0xff 
1679 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1680 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1681 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1682 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1683 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1684 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1685 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1686 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1687 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1688 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1689 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1690 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1691 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1692 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1693 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1694 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1695 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
1696 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
1697 R 1840 0x52 0x0 0x7 0x30 0x2c 0xff 
1698 F 892 0x46 0x0 0x3 0x7c 0x2c 0xff 
1699 R 947 0x52 0x0 0x3 0xb3 0x2c 0xff 
1700 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1701 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1702 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1703 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1704 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1705 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1706 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
1707 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
1708 F 1873 0x46 0x0 0x7 0x51 0x2c 0xff 
1709 R 897 0x52 0x0 0x3 0x81 0x2c 0xff 
1710 F 943 0x46 0x0 0x3 0xaf 0x2c 0xff 
1711 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
