04/09/15 Jack King phototran 2 5000Hz
46 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
47 R 1024 0x52 0x0 0x4 0x0 0x2c 0xff 
48 F 956 0x46 0x0 0x3 0xbc 0x2c 0xff 
49 R 1051 0x52 0x0 0x4 0x1b 0x2c 0xff 
50 F 936 0x46 0x0 0x3 0xa8 0x2c 0xff 
51 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
52 F 1025 0x46 0x0 0x4 0x1 0x2c 0xff 
53 R 955 0x52 0x0 0x3 0xbb 0x2c 0xff 
54 F 1050 0x46 0x0 0x4 0x1a 0x2c 0xff 
55 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
56 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
57 R 1024 0x52 0x0 0x4 0x0 0x2c 0xff 
58 F 956 0x46 0x0 0x3 0xbc 0x2c 0xff 
59 R 1047 0x52 0x0 0x4 0x17 0x2c 0xff 
60 F 941 0x46 0x0 0x3 0xad 0x2c 0xff 
61 R 982 0x52 0x0 0x3 0xd6 0x2c 0xff 
62 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
63 R 958 0x52 0x0 0x3 0xbe 0x2c 0xff 
64 F 1050 0x46 0x0 0x4 0x1a 0x2c 0xff 
65 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
66 F 981 0x46 0x0 0x3 0xd5 0x2c 0xff 
67 R 1023 0x52 0x0 0x3 0xff 0x2c 0xff 
68 F 957 0x46 0x0 0x3 0xbd 0x2c 0xff 
69 R 1046 0x52 0x0 0x4 0x16 0x2c 0xff 
70 F 941 0x46 0x0 0x3 0xad 0x2c 0xff 
71 R 982 0x52 0x0 0x3 0xd6 0x2c 0xff 
72 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
73 R 958 0x52 0x0 0x3 0xbe 0x2c 0xff 
74 F 1047 0x46 0x0 0x4 0x17 0x2c 0xff 
75 R 943 0x52 0x0 0x3 0xaf 0x2c 0xff 
76 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
77 R 1024 0x52 0x0 0x4 0x0 0x2c 0xff 
78 F 956 0x46 0x0 0x3 0xbc 0x2c 0xff 
79 R 1047 0x52 0x0 0x4 0x17 0x2c 0xff 
80 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
81 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
82 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
83 R 958 0x52 0x0 0x3 0xbe 0x2c 0xff 
84 F 1047 0x46 0x0 0x4 0x17 0x2c 0xff 
85 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
86 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
87 R 1023 0x52 0x0 0x3 0xff 0x2c 0xff 
88 F 957 0x46 0x0 0x3 0xbd 0x2c 0xff 
89 R 1046 0x52 0x0 0x4 0x16 0x2c 0xff 
90 F 941 0x46 0x0 0x3 0xad 0x2c 0xff 
91 R 982 0x52 0x0 0x3 0xd6 0x2c 0xff 
92 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
93 R 958 0x52 0x0 0x3 0xbe 0x2c 0xff 
94 F 1047 0x46 0x0 0x4 0x17 0x2c 0xff 
95 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
96 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
97 R 1024 0x52 0x0 0x4 0x0 0x2c 0xff 
98 F 956 0x46 0x0 0x3 0xbc 0x2c 0xff 
99 R 1047 0x52 0x0 0x4 0x17 0x2c 0xff 
100 F 941 0x46 0x0 0x3 0xad 0x2c 0xff 
101 R 982 0x52 0x0 0x3 0xd6 0x2c 0xff 
102 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
103 R 958 0x52 0x0 0x3 0xbe 0x2c 0xff 
104 F 1047 0x46 0x0 0x4 0x17 0x2c 0xff 
105 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
106 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
107 R 1024 0x52 0x0 0x4 0x0 0x2c 0xff 
