0,F,15529918
1,R,841
2,F,991
3,R,1299
4,F,845
5,R,990
6,F,1298
7,R,847
8,F,991
9,R,1296
10,F,848
11,R,990
12,F,1295
13,R,850
14,F,990
15,R,1294
16,F,835
17,R,989
18,F,1306
19,R,840
20,F,990
21,R,1303
22,F,842
23,R,989
24,F,1302
25,R,844
26,F,990
27,R,1300
28,F,845
29,R,990
30,F,1298
31,R,846
32,F,991
33,R,1297
34,F,848
35,R,989
36,F,1292
37,R,837
38,F,990
39,R,1307
40,F,838
41,R,990
42,F,1305
43,R,840
44,F,990
45,R,1304
46,F,841
47,R,990
48,F,1298
49,R,847
50,F,991
51,R,1296
52,F,848
53,R,990
54,F,1295
55,R,850
56,F,990
57,R,1294
58,F,835
59,R,990
60,F,1305
61,R,840
62,F,990
63,R,1307
64,F,838
65,R,990
66,F,1301
67,R,844
68,F,990
69,R,1300
70,F,845
71,R,990
72,F,1298
73,R,847
74,F,990
75,R,1297
76,F,848
77,R,990
78,F,1294
79,R,851
80,F,990
81,R,1293
82,F,835
83,R,990
84,F,1305
85,R,840
86,F,990
87,R,1304
88,F,841
89,R,990
90,F,1302
91,R,843
92,F,991
93,R,1300
94,F,845
95,R,989
96,F,1295
97,R,850
98,F,990
99,R,1294
100,F,835
101,R,990
102,F,1309
103,R,836
104,F,990
105,R,1307
106,F,838
107,R,990
108,F,1305
109,R,840
110,F,990
111,R,1303
112,F,842
113,R,990
114,F,1298
115,R,846
116,F,991
117,R,1296
118,F,849
119,R,990
120,F,1294
121,R,850
122,F,991
123,R,1293
124,F,835
125,R,990
126,F,1305
127,R,840
128,F,990
129,R,1307
130,F,838
131,R,990
132,F,1302
133,R,843
134,F,990
135,R,1300
136,F,845
137,R,990
138,F,1298
139,R,847
140,F,990
141,R,1297
142,F,848
143,R,990
144,F,1295
145,R,850
146,F,990
147,R,1294
148,F,835
149,R,989
150,F,1306
151,R,840
152,F,990
153,R,1303
154,F,842
155,R,989
156,F,1302
157,R,844
158,F,990
159,R,1300
160,F,845
161,R,990
162,F,1294
163,R,850
164,F,991
165,R,1293
166,F,1091
167,R,734
168,F,1309
169,R,836
170,F,990
171,R,1307
172,F,838
173,R,990
174,F,1305
175,R,840
176,F,990
177,R,1304
178,F,841
179,R,990
180,F,1298
181,R,847
182,F,991
183,R,1296
184,F,848
185,R,990
186,F,1295
187,R,850
188,F,990
189,R,1294
190,F,835
191,R,990
192,F,1305
193,R,839
194,F,991
195,R,1307
196,F,838
197,R,989
198,F,1303
199,R,842
200,F,991
201,R,1300
202,F,845
203,R,990
204,F,1298
205,R,846
206,F,991
207,R,1297
208,F,848
209,R,989
210,F,1292
211,R,837
212,F,990
213,R,1307
214,F,838
215,R,990
216,F,1305
217,R,840
218,F,990
219,R,1304
220,F,842
221,R,989
222,F,1302
223,R,843
224,F,990
225,R,1300
226,F,845
227,R,990
228,F,1295
