phototran 2 320Hz siggen Jack King 04/10/15
316 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
317 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
318 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
319 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
320 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
321 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
322 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
323 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
324 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
325 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
326 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
327 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
328 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
329 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
330 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
331 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
332 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
333 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
334 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
335 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
336 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
337 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
338 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
339 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
340 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
341 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
342 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
343 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
344 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
345 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
346 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
347 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
348 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
349 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
350 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
351 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
352 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
353 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
354 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
355 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
356 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
357 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
358 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
359 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
360 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
361 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
362 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
363 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
364 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
365 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
366 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
367 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
368 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
369 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
370 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
371 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
372 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
373 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
374 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
375 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
376 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
377 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
378 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
379 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
380 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
381 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
382 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
383 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
384 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
385 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
386 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
387 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
388 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
389 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
390 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
391 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
392 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
393 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
394 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
395 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
396 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
397 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
398 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
399 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
400 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
401 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
402 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
403 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
404 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
405 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
406 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
407 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
408 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
409 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
410 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
411 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
412 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
413 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
414 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
415 F 1246 0x46 0x0 0x4 0xde 0x2c 0xff 
416 R 734 0x52 0x0 0x2 0xde 0x2c 0xff 
417 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
418 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
419 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
