04/09/15 Jack King phototran 2 500Hz
56 R 844 0x52 0x0 0x3 0x4c 0x2c 0xff 
57 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
58 R 1300 0x52 0x0 0x5 0x14 0x2c 0xff 
59 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
60 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
61 F 1295 0x46 0x0 0x5 0xf 0x2c 0xff 
62 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
63 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
64 R 1297 0x52 0x0 0x5 0x11 0x2c 0xff 
65 F 848 0x46 0x0 0x3 0x50 0x2c 0xff 
66 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
67 F 1291 0x46 0x0 0x5 0xb 0x2c 0xff 
68 R 837 0x52 0x0 0x3 0x45 0x2c 0xff 
69 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
70 R 1307 0x52 0x0 0x5 0x1b 0x2c 0xff 
71 F 839 0x46 0x0 0x3 0x47 0x2c 0xff 
72 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
73 F 1306 0x46 0x0 0x5 0x1a 0x2c 0xff 
74 R 839 0x52 0x0 0x3 0x47 0x2c 0xff 
75 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
76 R 1303 0x52 0x0 0x5 0x17 0x2c 0xff 
77 F 842 0x46 0x0 0x3 0x4a 0x2c 0xff 
78 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
79 F 1299 0x46 0x0 0x5 0x13 0x2c 0xff 
80 R 846 0x52 0x0 0x3 0x4e 0x2c 0xff 
81 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
82 R 1300 0x52 0x0 0x5 0x14 0x2c 0xff 
83 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
84 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
85 F 1295 0x46 0x0 0x5 0xf 0x2c 0xff 
86 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
87 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
88 R 1293 0x52 0x0 0x5 0xd 0x2c 0xff 
89 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
90 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
91 F 1309 0x46 0x0 0x5 0x1d 0x2c 0xff 
92 R 836 0x52 0x0 0x3 0x44 0x2c 0xff 
93 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
94 R 1307 0x52 0x0 0x5 0x1b 0x2c 0xff 
95 F 838 0x46 0x0 0x3 0x46 0x2c 0xff 
96 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
97 F 1301 0x46 0x0 0x5 0x15 0x2c 0xff 
98 R 844 0x52 0x0 0x3 0x4c 0x2c 0xff 
99 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
100 R 1300 0x52 0x0 0x5 0x14 0x2c 0xff 
101 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
102 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
103 F 1298 0x46 0x0 0x5 0x12 0x2c 0xff 
104 R 846 0x52 0x0 0x3 0x4e 0x2c 0xff 
105 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
106 R 1296 0x52 0x0 0x5 0x10 0x2c 0xff 
107 F 849 0x46 0x0 0x3 0x51 0x2c 0xff 
108 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
109 F 1294 0x46 0x0 0x5 0xe 0x2c 0xff 
110 R 851 0x52 0x0 0x3 0x53 0x2c 0xff 
111 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
112 R 1293 0x52 0x0 0x5 0xd 0x2c 0xff 
113 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
114 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
115 F 1305 0x46 0x0 0x5 0x19 0x2c 0xff 
116 R 840 0x52 0x0 0x3 0x48 0x2c 0xff 
117 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
118 R 1307 0x52 0x0 0x5 0x1b 0x2c 0xff 
119 F 838 0x46 0x0 0x3 0x46 0x2c 0xff 
120 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
121 F 1302 0x46 0x0 0x5 0x16 0x2c 0xff 
122 R 843 0x52 0x0 0x3 0x4b 0x2c 0xff 
123 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
124 R 1300 0x52 0x0 0x5 0x14 0x2c 0xff 
125 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
126 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
127 F 1298 0x46 0x0 0x5 0x12 0x2c 0xff 
128 R 847 0x52 0x0 0x3 0x4f 0x2c 0xff 
129 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
130 R 1297 0x52 0x0 0x5 0x11 0x2c 0xff 
131 F 848 0x46 0x0 0x3 0x50 0x2c 0xff 
132 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
133 F 1295 0x46 0x0 0x5 0xf 0x2c 0xff 
134 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
135 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
