04/09/15 Jack King phototran 2 40KHz
33 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
34 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
35 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
36 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
37 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
38 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
39 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
40 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
41 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
42 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
43 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
44 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
45 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
46 F 996 0x46 0x0 0x3 0xe4 0x2c 0xff 
47 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
48 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
49 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
50 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
51 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
52 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
53 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
54 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
55 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
56 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
57 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
58 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
59 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
60 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
61 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
62 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
63 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
64 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
65 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
66 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
67 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
68 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
69 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
70 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
71 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
72 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
73 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
74 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
75 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
76 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
77 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
78 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
