04/09/15 Jack King phototran 2 50KHz
188 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
189 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
190 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
191 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
192 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
193 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
194 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
195 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
196 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
197 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
198 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
199 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
200 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
201 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
202 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
203 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
204 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
205 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
206 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
207 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
208 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
209 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
210 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
211 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
212 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
213 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
214 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
215 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
216 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
217 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
218 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
219 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
220 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
221 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
222 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
223 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
224 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
225 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
226 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
227 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
228 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
229 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
230 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
231 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
232 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
233 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
234 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
