04/09/15 Jack King phototran 2 75KHz
33 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
34 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
35 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
36 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
37 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
38 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
39 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
40 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
41 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
42 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
43 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
44 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
45 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
46 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
47 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
48 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
49 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
50 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
51 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
52 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
53 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
54 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
55 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
56 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
57 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
58 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
59 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
60 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
61 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
62 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
63 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
64 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
65 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
66 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
67 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
68 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
69 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
70 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
71 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
72 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
73 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
74 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
75 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
76 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
77 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
78 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
79 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
80 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
81 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
82 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
83 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
84 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
85 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
86 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
87 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
88 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
89 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
90 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
