phototran 2 312Hz siggen Jack King 04/10/15
44 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
45 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
46 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
47 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
48 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
49 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
50 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
51 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
52 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
53 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
54 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
55 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
56 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
57 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
58 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
59 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
60 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
61 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
62 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
63 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
64 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
65 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
66 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
67 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
68 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
69 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
70 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
71 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
72 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
73 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
74 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
75 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
76 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
77 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
78 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
79 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
80 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
81 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
82 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
83 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
84 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
85 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
86 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
87 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
88 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
89 R 1005 0x52 0x0 0x3 0xed 0x2c 0xff 
90 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
91 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
92 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
93 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
94 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
95 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
96 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
97 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
98 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
99 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
100 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
101 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
102 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
103 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
104 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
105 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
106 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
107 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
108 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
109 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
110 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
111 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
112 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
113 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
114 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
115 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
116 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
117 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
118 F 1259 0x46 0x0 0x4 0xeb 0x2c 0xff 
119 R 751 0x52 0x0 0x2 0xef 0x2c 0xff 
120 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
121 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
122 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
123 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
124 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
125 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
126 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
127 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
128 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
129 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
130 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
131 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
132 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
133 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
134 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
135 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
136 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
137 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
138 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
139 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
140 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
141 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
142 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
143 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
144 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
145 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
146 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
147 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
148 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
149 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
150 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
151 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
152 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
153 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
154 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
155 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
156 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
157 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
158 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
159 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
160 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
161 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
162 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
163 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
164 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
165 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
166 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
167 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
168 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
169 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
170 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
171 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
172 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
173 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
174 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
175 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
176 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
177 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
178 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
179 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
180 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
181 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
182 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
183 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
184 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
185 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
186 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
187 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
188 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
189 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
190 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
191 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
192 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
193 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
194 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
195 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
196 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
197 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
198 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
199 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
200 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
201 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
202 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
203 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
204 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
205 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
206 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
207 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
208 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
209 R 1006 0x52 0x0 0x3 0xee 0x2c 0xff 
210 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
211 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
212 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
213 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
214 F 1004 0x46 0x0 0x3 0xec 0x2c 0xff 
215 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
216 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
217 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
218 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
219 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
220 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
221 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
222 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
223 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
224 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
225 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
226 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
227 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
228 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
229 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
230 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
231 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
232 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
233 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
234 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
235 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
236 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
237 R 1006 0x52 0x0 0x3 0xee 0x2c 0xff 
238 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
239 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
240 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
241 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
242 F 1004 0x46 0x0 0x3 0xec 0x2c 0xff 
243 R 1006 0x52 0x0 0x3 0xee 0x2c 0xff 
244 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
245 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
246 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
247 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
248 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
249 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
250 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
251 R 1006 0x52 0x0 0x3 0xee 0x2c 0xff 
252 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
253 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
254 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
255 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
256 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
257 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
258 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
259 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
260 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
261 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
262 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
263 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
264 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
265 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
266 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
267 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
268 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
269 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
270 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
271 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
272 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
273 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
274 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
275 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
276 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
277 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
278 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
279 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
280 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
281 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
282 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
283 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
284 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
285 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
286 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
287 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
288 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
289 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
290 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
291 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
292 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
293 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
294 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
295 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
296 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
297 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
298 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
299 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
300 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
301 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
302 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
303 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
304 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
305 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
306 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
307 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
308 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
309 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
310 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
311 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
312 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
313 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
314 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
315 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
316 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
317 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
318 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
319 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
320 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
321 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
322 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
323 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
324 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
325 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
326 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
327 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
328 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
329 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
330 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
331 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
332 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
333 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
334 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
335 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
336 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
337 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
338 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
339 R 1008 0x52 0x0 0x3 0xf0 0x2c 0xff 
340 F 999 0x46 0x0 0x3 0xe7 0x2c 0xff 
341 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
342 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
343 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
344 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
345 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
346 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
347 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
348 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
